Date,Author,Vertical,Headline,Description
"Created: Jan 4, 2020, 00:00 IST",M Suganth,Entertainment,Why Aari rechristened himself as Aari Arujuna,"While it is normal for people to come up with new resolutions at the start of a new year, actor Aari has gone for a change of name in the hope the move will change his fortunes. The Maya actor will henceforth be called Aari Arujuna, he informs.

“We currently have Aadhi, Arya and Aari in the industry, and given that these names sound similar, it was leading to confusion. I have been called Aadhi on many occasions and I decided that this new year would be a great time put a full-stop to this. Since going for an entirely new name would lead to people mistaking my name for a newcomer’s, I started looking at names that would go well with Aari and zeroed in on Arujuna,” explains the actor.


The actor has signed a new film that will be directed by Albert Raja, who has assisted Jeeva Shankar in Amarakaviyam and Yeman. “It is an action thriller, and my character is that of a boy-next-door. This normal youngster gets into an extraordinary situation and what happens after that forms the plot,” says the actor.

The supporting cast includes Yogi Babu, Nasser, Senthil and Kovai Sarala, who are teaming up after a long time. Kolaigaran fame Simon K King is scoring the music for this film, which will go on floors in February."
"Created: Jan 4, 2020, 00:01 IST",Harshada Rege,Entertainment,Gerard Butler’s day in Varanasi,"Hollywood star Gerard Butler brought in the New Year in India. The actor met the Dalai Lama and visited Rishikesh before spending a day in Varanasi on January 1. During his stay, Gerard and girlfriend Morgan Brown visited a foundation that works towards social causes. Varanasi-based social entrepreneur, Avinav Peshwani, who spent many hours with the 300 actor, said, “Gerard got to know about our Aghor foundation and wanted to visit it. When I met him, I asked him, ‘Are you actually Gerard Butler?’ He replied, ‘Yes, people usually call me by that name.’ We spoke a lot about spirituality. He was also keen to know about Varanasi, which is considered to be among the oldest standing cities in the world. He was very down to earth.”

While the morning was spent at Bal Ashram, the foundation’s shelter for destitute children, Gerard and Morgan walked around the city and the ghats in the evening. They also visited a few local houses to see the traditional structures.


Gerard recalls his first visit to Varanasi

In a video that Avinav shared on social media, Gerard says, “I came to Varanasi 10 years ago when I was travelling with seven friends. It was tough because everyone wanted to do something different until we arrived in Varanasi. When I arrived here, I felt completely high. I meditated on the banks of the Ganges. I did a private pooja, which was so powerful. That night, I went to the Ganga aarti and I remember sitting on one of the boats there and thinking this is the best day I have ever had in my life. It was magical and mystical against the backdrop of this ancient city. Even then, I remember the guide taking us through a city that was so busy, but everyone was smiling. There’s an order in chaos and a lot of heart and love (sic).”"
,"Updated: Jan 4, 2020, 13:20 IST",Entertainment,Priyanka Chopra shares pictures from her beach vacation with her hubby and their friends,"Priyanka Chopra and Nick Jonas have been giving us major couple goals for a long time now. Pictures and videos of the international couple take over the internet in no time.
Now, the duo welcomed the year 2020 at the Jonas Brothers' concert and sealed their love with a kiss during the event. Nick shared the picture from the bash yesterday on his social media account.

And today, PeeCee took to her Instagram to share a picture from their vacation with their friends. In the photos, the couple can be seen enjoying the white sand beach with crystal clear water along with their best pals.

The Bollywood diva looked pretty in a long while Nick was in a t-shirt and shorts. She captioned the post, ""Grateful for family and friends that make everything better. The friends around us and the ones away from us.. you were missed! I cannot wait to start this new year with all of you in our lives..""


Check out the post here:



Meanwhile, on the work front, Priyanka was last seen in Shonali Bose's 'The Sky Is Pink' co-starring Farhan Akhtar and Zaira Wasim. Backed by Siddharth Roy Kapur, Ronnie Screwvala and Priyanka herself, the film was released in October last year."
"SUBSCRIBE NOW
Get a weekly dose of all the major happenings in the TV world, right in your inbox every Friday.
Subscribe
By subscribing to newsletter, you acknowledge our privacy policy","Created: Jan 4, 2020, 00:08 IST",TV,Bigg Boss 13: Shehnaz Gill acts possessive about Sidharth Shukla; tries to control him,"Bigg Boss 13 contestants Shehnaz Gill and Sidharth Shukla's friendship has been witnessing a rough patch since quite a few days. In the latest episode, Shehnaz and Paras sit down in the captain's room and sort out their differences.

During their discussion, Shehnaz tells Paras to make Sidharth understand that he should not have problems when she talks to other. He assures her that he will talk to Sidharth about it. Later, Paras talks to Sidharth and tells him about his conversation with Shehnaz. He tells Sidharth that Sana doesn't like when he stops her from talking to others. Sidharth gets furious hearing this and tells Paras he has never done that. He only tries to protect her. He tells him, he doesn't like Shehnaz' attitude as she behaves all goody goody with Asim and others after his fight with them. Sidharth and Shehnaz talk and he tells her that from now on he will not stop her when she is going wrong. He also adds that people can take advantage of her in wholesale.


Sidharth and Shehnaz continue to have fights throughout the day. Later, when during the night Sidharth is seen having a conversation with Paras, Shefali and Mahira, Shehnaz comes there and orders Sidharth to come inside and sleep. Sidharth gets angry and says he doesn't want to sleep now, but she forces him to come inside the room and sleep. She acts possessive with Sidharth and the latter doesn't like it. She tells him she won't be able to sleep until he doesn't sleep beside her and Sidharth makes faces.

Coming back to Paras' discussion with Shehnaz they also discuss about the problems Shehnaz and Mahira have with each other. Sidharth, who is also sitting with them gets bored and walks out. He goes and sit with Mahira, Arti and Shefali Jariwala. He plans to trouble Shehnaz and interrupts her when she is talking to Paras. He tells her, he is bored and can't sit for so long outside. Sidharth, Paras and Shehnaz both have a hearty laugh over his joke."
"TIMESOFINDIA.COM | Updated: Jan 4, 2020, 22:54 IST",-,-,Big sports events today,-
"Marcus Mergulhao | Jan 4, 2020, 00:12 IST",Marcus Mergulhao,City,Hurt Churchill Brothers eager to bounce back,-
"Paresh Mokani | Jan 4, 2020, 00:14 IST",Paresh Mokani,City,"Ranji Trophy: Vijesh, Sumiran put Goa on top",-
,"Created: Jan 5, 2020, 00:00 IST",Lifestyle,Live it up in 2020,"The New Year looks like a mixed bag of traditional wisdom and space-age endeavours; functional fitness and micro regional flavours. All in all, it looks like a year of promise and mindful choices.
SPACE IT OUT
The world will witness the birth of a completely new travel sector in the 2020s – sub-orbital business aircraft and intergalactic hotels. Going forward, everyday cosmonauts will get to experience total weightlessness and see Earth’s curvature below them. NASA will begin selling passenger tickets to the International Space Station (ISS) for US$ 35,000 a night. Space X or Boeing will be providing flights. Amazon founder Jeff Bezos’ Blue Origin Space Company hopes to launch crewed test flights of its New Shepard craft in 2020, in preparation for sending its first space tourists.

ECO-FRIENDLY TRAVEL
From the introduction of vegan hotels to a plethora of sustainable initiatives like eco-aware hotels that eliminate plastics, introduce ‘give-back’ activities and use local produce and communities in hotels, it has become easier to travel more ethically. According to the Vegan Society, if the whole world went meat-free by 2050, it would save eight million human lives and reduce greenhouse gases by two thirds. Moreover, with the rise in ‘flygskam’ (or ‘flight shaming’) coupled with ‘tagskyrt’ (or ‘train-bragging’) — two Swedish terms which seem to capture the zeitgeist and which are all the rage on social media — conscious travellers are also turning to alternative modes of transport as opposed to flying.
GRANDMA DIET
From heirloom recipes to nutritional advice, there’s no food better than your grandma’s. Dieticians are encouraging patients to think in terms of what grandma used to eat back then. It’s just a different way to think about how reliant we’ve become on processed food. If we can think about Grandma, or great-Grandma, who made most food from scratch, it can help us get back to a healthier way of eating. In the early 1900s, 80 per cent of individuals lived on family farms where physical activity was part of their livelihood and routine. Whether on farms or in smaller gardens, people grew their own vegetables. That’s what we are going back to.

WORKING OUT... NOT FOR WEIGHT LOSS
In case our own endorphins weren’t proof enough, evidence is mounting that there are plenty of reasons to exercise which have nothing to do with physical appearance: Cortisol-conscious workouts focused on reducing stress are on the rise, and studies have shown that the mental benefits of exercise can help with mental health issues including anxiety and depression. Mindful workouts and functional fitness will continue to grow bigger in 2020. Maintaining a good body weight will still be an objective but definitely not the topmost priority. Thanks to the Body Positivity movement, attaining a bikini body is no more the goal.

SPIRIT APPRECIATION BREAK
You’ve heard of wine and spirit tasting tours and bar crawls during a travel break. This year will be about wine and whiskey residencies where you are booked in a villa and a spirit expert takes you through the appreciation process. Rather than visiting a distillery or a vineyard, expect these residencies to be big this year – here you get to sample a vintage brew or a range of products of a certain year and pair the drinks with different cuisines over a period of two nights and three days.

UBER LUXE STAYS
There has been a noticeable rise in groups of friends and family clubbing together to rent holiday villas, chalets and high-end homes with butler services. These quirky as well as beautiful villas come with swimming pools, in-house theatres, gyms as well as a degree of exclusivity, novelty and informality that hotels cannot match. Luxurious home stays offer an ideal setting for bonding and reconnecting with loved ones. Another plus point is that a majority of such villas are pet-friendly and have sufficient space for your furry friends to play around. The concept of weekend getaways to a fancy homestay is only likely to gain more popularity this year.

OWN YOUR HEALTH
In the New Year, we will get more responsible for our own health, and the health of those for whom we shop and cook. Your health starts at the kitchen table. Homemakers and chefs will be more focused on health, mindful eating, sustainable foods and lifestyles, and fitness. From more calming foods for anxiety, nootropics to boost the brain and plant-based food to cleanse the body, the mantra for 2020 will be ‘food to fuel the mind, body and spirit’.


HYPER REGIONAL FOOD
Regional food will be broken into micro-regions. Language and food changes every 100 km in India. Then how can you have Rajasthani or Awadhi as a broad category? This will be the year of micro-regional cuisines. Chefs will speak of the cuisine of a community, a locality or just a lane than merely stating it’s a regional Indian cuisine. Expect menus to be inspired by the fishermen community in Koliwada, Punjabi food of Uttarakhand’s Sikh community, coastal cuisine of small towns in Kerala or desserts from Madhya Pradesh. If not the cuisine, then there would be micro regional ingredient influences where you can expect a lot of fusion preparations where popular dishes are cooked using spices and herbs from a particular district or farm.


SENIOR AND JUNIOR FITNESS
Among people hitting health clubs, a new category will be senior citizens and kids. Increasingly, older adults are turning to smartwatches and fitness trackers to monitor everything from heart rate to steps taken. There will be certified trainers specialising in fitness programmes for adults, helping them with recovery, flexibility and knee issues. Similarly, kids will be seen hitting the gym to learn better posture, body movement and alignment.


EXERCISE IS MEDICINE
Gyms will be employing sports nutritionists and certified fitness professionals instead of body builders. Exercise will be one of the more prescribed forms of treatment for patients who are experiencing a range of disorders. As a result, physiotherapy will get more popular and people will be encouraged to engage in some form of exercise to maintain good health. This is an aspect that will be seen as essential, even for those not facing any immediate medical conditions."
"JORDAN YEOH'S FITNESS
10 Minute Abs Workout Fat Burning HIIT! (Level 3)
Progressive Fat-Burning Workout!
Dumbbell shoulder workout
[New!] Level 4 - 30 minute tempo fat-burning!
SEE ALL","Created: Jan 5, 2020, 00:00 IST",Lifestyle,Diet to induce sound sleep,"There are four main vitamins and minerals found in food that help in promoting sleep: tryptophan, magnesium, calcium, and B6. Some of these substances help the body produce melatonin, the hormone that is responsible for regulating your circadian rhythm (sleep/wake patterns). Magnesium is a powerful mineral that is instrumental in sleep and is a natural relaxant that helps deactivate adrenaline. In fact, it is often referred to as the sleep mineral. Calcium is another mineral that helps the brain make melatonin. A lack of calcium can cause you to wake up in the middle of the night and have difficulty returning to sleep. Some foods are naturally packed with these essential vitamins and minerals. Here’s a list:

For tryptophan, have dairy products (milk, low-fat yogurt, cheese); poultry (turkey, chicken); seafood (shrimp, salmon, halibut, tuna, sardines, cod); nuts and seeds (flax, sesame, pumpkin, sunflower, cashews, peanuts, almonds, walnuts).

For magnesium have dark leafy greens (baby spinach, kale, collard greens), wheat germ, fish (salmon, halibut, tuna, and mackerel), soybeans, and banana.

For calcium, have low-fat milk, cheeses, yogurt, sardines, fortified cereals and soybeans.

For Vitamin B6, have sunflower seeds, pistachio nuts, flaxseed, fish (tuna, salmon, and halibut), and dried prunes. For melatonin, have fruits and vegetables like corn, asparagus, tomatoes, pomegranate, olives, grapes, broccoli, cucumber; grains like rice, barley, rolled oats and nuts and seeds.


Foods high in fat have been linked to poor, fragmented sleep. Fat triggers the digestive processes and causes a build-up of stomach acids, which while lying down can cause discomfort"
"Created: Jan 5, 2020, 00:00 IST",Madhu Daithota,Entertainment,Bhavana gets an intriguing makeover for her next,"Except for the time it was launched in June 2019, the makers of Kannada film Bhajarangi 2 have kept the details of the film under wraps. The Shivarajkumar-starrer, which sees the actor teaming up with director A Harsha for the third time, has led to much curiosity as the team has not been forthcoming with any publicity material from the movie. In a first, the look of the leading lady Bhavana is now available with BT.

Director Harsha shares that a lot of brain storming went into creating this get-up for Bhavana. “Having been seen as the girl-next-door in most of her films until now, this is a character that is clearly a first for Bhavana. While revealing anything more about her character might be a spoiler, her gritty and fierce avatar will surely be a sign of the things to come,” points out Harsha. The actress, he adds, is slated for a knockout performance as she pairs with Shivarajkumar for the second time, after Tagaru. “It’s an intriguing character and her look will only add further gravitas,” says Harsha. Shivarajkumar, too, sports an interesting look, which is a highlight.


Harsha tells us that he plans to introduce the seven main characters of his film — who have all got stunning makeovers — one by one in subsequent weeks. Bhajarangi 2 shoot is currently underway at Shivamogga, the team also shot at Sakrebailu Elephant Camp on Friday."
"TNN | Jan 5, 2020, 00:00 IST",-,City,A New Year party to remember,-
"Created: Jan 5, 2020, 00:00 IST",Nona Walia,Lifestyle,Homing in on 2020,"Greater Privacy There’s a move towards greater privacy in homes. Small apartments will have spaces divided with natural materials.
The tendency will be to look for divisions that grant greater privacy and intimacy to each space.

Cool & Comfy
Casual is the new cool. A living room built for loun-ging is here to stay. We are doing to see more inviting furniture and decor (in rich jewel tones of green and blue), bright pillows and coffee tables and other surfaces made out of wood, stone, marble or other natural materials. Milan Design Week predicts that this year, humble materials like rattan, plywood, jute, sisal, hemp and terracotta will be used more than ever. Wabi-sabi and burnt wood are also coming back.
Minimal, but Personal
Minimal spaces with personalisation will be in. Don’t chuck all your possessions, but try some “intimate minimalism”. Create an intimate nook with a curated shelf housed with select knick-knacks. The idea is to own less but make use of more things and to opt for multifunctional and compact design. Furniture will become increasingly multipurpose, movable, and modular. There will be a move towards use of organic resources, with classic styles that don’t go out of fashion. Wood, glass and stone will be the home decor materials of choice .

Return of Carpets
The carpet was literally everywhere during Milan Design Week 2019 and is being predicted as a big trend for 2020. You can put it on the floor but also hang it on the wall or fix it on the ceiling.

Handleless Cabinets
The latest contemporary designs are all about a multi-tasking and free-flowing design. Technological advances has made it possible to dispense off with handles in both wall and base cabinets. Handleless kitchen cabinets are one of the biggest trends this year for a more streamlined look. It’s all about simplicity and a focus on cabinetry details.

Curves
Curves and round shapes are associates with classic design. Give your home a retro twist as you use furniture with curved shapes, rounded corners.

Integrated Kitchen & Dining Room
Interior design in 2020 gives prominence to the kitchen, increasing its dimensions and connecting it with the dining and living room as the main entertainment space. There’s a rise of interactive dining spaces.

Terracotta
From vases to plants to walls – terracotta is going to dominate this year. A warm, natural material, you can even use terracotta coating for a wall. It creates an earthy look.

Oversized plants
Big, huge plants indoors is all set to go bigger as indoor plants and plant-like accessories go oversized. Blending with nature and relaxing is one of the defining interior trends for 2020.

Don’t be matchy-matchy
Mix and match your decor items but don’t go for matching shades. Pick a complementary colour palette for boho-chic style that feels cohesive but non-conforming. You will feel more energetic and adventurous in this ethos as the idea is that since nothing in the room is perfect, you really can relax in it.

You need more of...
1. Indoor plants
2. Dedicated exercise rooms and gym equipment with fitness inspo art
3. User friendly kitchens to incorporate bigger appliances

4. Food art and prints

5. Fresh food storage


Terracotta

From vases to plants to walls – terracotta is going to dominate this year. A warm, natural material, you can even use terracotta coating for a wall. It creates an earthy look.


Oversized plants

Big, huge plants indoors is all set to go bigger as indoor plants and plant-like accessories go oversized. Blending with nature and relaxing is one of the defining interior trends for 2020."
,"Created: Jan 5, 2020, 00:00 IST",Entertainment,A New Year party to remember,"Bengaluru folk welcomed 2020 recently at The Den, Bengaluru. It was a gala celebration, where people were seen bidding adieu to 2019. Guests continued to dance to their favourite Bollywood tunes till the last beat. The extravagant celebration also included fireworks, fire dance, a wide buffet spread and unlimited beverages to compliment the event."
"Updated: Feb 29, 2020, 19:16 IST",Sunayana Suresh,Entertainment,Suraj Gowda turns director for Ninna Sanihake,"We had told you about actor Suraj Gowda turning writer as he penned his upcoming film Ninna Sanihake. Now, here’s another update from the sets of the film. The team confirms that Suraj will also be credited as director for the film. The team has also applied for a change of director in the registration, as it was originally supposed to be directed by Suman Jadugar. The reason for this is amicable and Suman is still part of the film’s direction team, we hear. “Suman met with an accident on the third day of the shoot. As we couldn’t stop the shoot, I took over the reins then and oversaw all the work on and off the sets those days. When Suman resumed work on the set, he saw the output and said that it was very good and the film had shaped up well. It was then that the team reached a consensus that I’d continue directing the film, which is based on a story that was written by me,” says Suraj.
The film marks the debut of late matinee idol Dr Rajkumar’s granddaughter Dhanya Ramkumar, who is paired opposite Suraj in the film. “We have around one week’s shoot left,"" he adds.
FACEBOOKTWITTERPINTREST"
"Created: Jan 5, 2020, 00:00 IST",Shikha Shah,Lifestyle,Beauty in blue,"Classic Blue is certainly an all-inclusive trend that’s not only hot in fashion but in make-up too. In fact, the cool and striking shade is already inspiring countless beauty and make-up looks. Think classic blue eye liner, eye shadow and nail varnish. Yes, coloured eyeliner is a major trend for the coming season and has been a rage at catwalks around the world. “Blue is a very flattering colour for the Indian skin tone. Apart from a simple blue eyeliner, you can try blue eye shadow or a thick line of blue-coloured shadow above a black eyeliner, while lining the lower lid only with the coloured shadow. Blue can also be used only to line the outer corners of the eyes, or just the inner corners of the eyes. For a softer look, blend the blue-coloured shadow from dark to light, from the eyelids going upwards. The colour should be lighter above the crease,” says beauty expert Shahnaz Husain.


“Alternatively, nude make-up for the eyes can be paired with bold lips. Those who like to experiment can try a classic blue lipstick with a pearly finish,” adds Husain.
Classic blue has a rare quality of making you look cool or glamorous, depending on how you use the hue in your make-up. While a simple blue liner can go well with a casual ensemble, dark blue glittery eyeshadow can have a magical effect for a night out with friends or a glitzy evening on the red carpet.


When using classic blue in make-up, it is necessary to keep the colour of the dress in mind. For instance, a green coloured outfit with blue eye shadow or eyeliner would really clash. A light coloured, grey, white or light blue shimmering dress would go with blue make-up colours. Blue eye shadow or liner would go best with dark brown or black hair.


MAKE-UP NOTES

- Little is enough

- Focus on one feature only – lips or eyes

- When using classic blue, keep the skin clean and complexion dewy and flawless. A light coverage foundation works well

- Balance blue lips or eyes with a neutral cheek highlighter"
"Created: Jan 5, 2020, 00:00 IST",Nupur Amarnath,Lifestyle,An yearful of trends,"A bit of crystal gazing for the year ahead on what is bound to keep you stylish in 2020

1. Suit yourself

The suits are here to stay and 2020 is going to see a variety of them from classic tailored ones to sexy draped silhouettes. In fact, pant suits were a big trend last year and many celebrities endorsed the look – globally and in India. It will continue to get more attention and is only bound to get edgier with more attention to detail, styles and a lot of embroidery. This power trend lets you walk in like a boss.
2. Explosion of
social e-commerce
The process of making purchases directly on a social media platform has been increasingly gaining ground over the past few years and this trend will continue onwards as we move into 2020. As consumers turn to social media for product recommendations and reviews before making a purchase decision, naturally, the concept of social commerce is gaining momentum.

3. Be bold
The year 2020 is all about wearing your fashion statement on your sleeve – and it’s not understated. From bold colour blocking with bright and statement-making hues clubbed together to bolder accessories, the name of the game is to not be subtle. There’ll be more layering, be it clothes or jewellery. Everything will be exaggerated like dramatic sleeve, big earrings to oversized sunglasses and bags. This is the year of high-volume dresses, playful feathers, bold neons, statement retro prints, and dramatic fringes.

4. Getting ‘woke’
Consumers now increasingly back their beliefs with their shopping habits, favouring brands that are aligned with their values and avoiding those that aren’t. There’s a growing non-acceptance in the world of fashion when it comes to lack of diversity and uninspiring or unoriginal brand philosophies. However, as major brands continue to adapt their business models to this trend, customers will be more skeptical than ever regarding how sincere these efforts are. Fast fashion will slow down with more people buying clothes that are easily mixed and matching and upcycled rather than single statement pieces. There’s a rise in re-sales, swaps and second-hand market.

5. Ruffle it up
Ruffles and gathers rather MORE ruffles and gathers is an undying trend that will continue to rule the fashion runway. It is the perfect dose of drama.

6. Designer
collaborations
As consumers look for innovation in design and a chance to own high-end products at a much affordable price, designer collaborations are expected to become even bigger this year.

7. Leather is back
In small ways and big, from detailings and trims to two-piece co-ords, leather is here to stay. But given the current ‘woke’ fashion trend, many will opt for faux or cruelty-free leather – basically vegan leather is going to be big.

8. time for comebacks
Fashion has been in a cycle of revival for some time. And 2020 is no different. The puffy Victorian sleeve is all set to be one of the biggest trends as are the retro prints. Be it 60s inspired florals or retro, the more drama you can create, the better. With the return of graphic polka dots, disco collars, ’60s wallpaper prints, hot pants and dramatic feathers – 2020 will see a lot many comebacks.

9. Dots the way

Polka dots are back and how. This all-time classic is back on any outfit whether contemporary, Indian or western. This year dots will be seen on accessories too from shoes, bags and even hair clips. Men can also incorporate polka dots in the form of oversized sweatshirts, pocket squares or scarfs.


10. What’s more?

This will be the year of fringes and tassels and they are likely to be everywhere from cropped jackets to fringe-adorned boots. In terms of colours, yellow and all its shades are back as a trend. In fact, marigold shade — a cusp between gold and mustard — is going to be ‘the’ pick for both men and women. Also, among other accents, glitter and sequins will move from party wear to everyday wear.


Expert panel:
Tanvi Malik, co-founder of popular fashion e-commerce sites; designers Saaksha & Kinni; Nanki Papneja; Rhea Pillai Rastogi; Pooja Shroff; Arpita Mehta"
,"Updated: Jan 5, 2020, 11:43 IST",Entertainment,Will Hema Commission report shake up the cinema industry?,"The report by Justice Hema Commission that studied the issues faced by women in Malayalam film industry has made way for debates across Kerala. The study by the committee headed by retired High Court judge K Hema and veteran actor Sharada and former bureaucrat K B Valsala Kumari as members, has confirmed the practices of casting couch, unofficial bans and gender discrimination in the industry.
While talking to Kochi Times, in an exclusive interview, Justice Hema revealed that making a demand for sex in return for a role or job and denying the person the opportunity if they resist exists only in cinema. “Everybody says sexual harassment in workplace is there everywhere, but you need to understand that casting couch exists only in the film industry. If somehow they manage to get a film and then they express resentment against ‘compromises’, the torture begins. Also, there are many human rights and constitutional violations. Film is not a world that we imagine,” she said.

Adding further she said, ""Women in cinema and men too, face unofficial bans. If a woman refuses to oblige or expresses her resentment to sexual harassment at workplace, she is banned from cinema, for no fault of hers."" Justice Hema also urged that a tribunal should be formed, and statute should be implemented. That alone will be a solution to the injustice in Malayalam film industry. Those from the film industry react to the findings of the report.

‘This is not a unique discovery. Such problems exist everywhere’
Edavela Babu, general secretary of AMMA

Nothing in the report is related to us (AMMA). Only Kerala Film Chamber of Commerce and Kerala Film Producers Association can act based on the findings and formulate rules. There is nothing new in the study. They have only reported whatever we have been saying. Casting couch is something people here have been discussing for a long time and we should understand that it exists across the world. It isn’t something that Mollywood has discovered. ‘Compromise’ and ‘adjustment’ are individual decisions. If one decides to resist it, they won’t succumb to it. Also, I think it is about the talent here. However, if the commission says that it has happened to nearly every woman in the industry, it is an insult. I don’t deny the existence of casting couch, but we all know that it is happening in every other field. We all know how things work and if anybody has objection, let them come out. Also, let the commission reveal the names. Nothing is going to change.


‘Issues can be resolved through constructive dialogues between government and producers’
B Unnikrishnan, FEFKA official and filmmaker

We have been actively trying to bring in changes in the industry through various organisations, and the commission’s findings include things that even we aren’t aware of. They have interviewed 57 people, a cross section of Malayalam cinema, who have boldly spoken to the commission about the difficulties they have faced. The report can be used as a guideline for the betterment of the industry and we can plan corrective measures too. While implementing a new law, we need to keep in mind that we already have a strong and powerful law like POSH that addresses sexual harassment at work place and this can be extended to any field of work. In every other field, it is easy to implement these laws but when it comes to films, the employer keeps changing. So, what should happen is that the producers association and the government should have a constructive dialogue to implement the existing law itself.


‘Women need a respectful and healthy workspace in cinema. Laws should be implemented’
Rajeev Ravi, filmmaker and cinematographer

The issues mentioned by the commission have been open secrets in the industry. And it is really bad. We have never allowed such people to work with us. Things would have been better if the #MeToo movement that started off with great momentum had continued in the same pace in Mollywood. But it did not. Instead it ended with Alencier and Vinayakan. Women need a healthy and happy workspace. They should be respected and if there is a complaint, that should be heard, and they should be encouraged and supported to speak up and work, instead of their dignity being questioned. Considering the findings and suggestions, we need to ensure that the laws are implemented. People should point out the names of those who perpetuate these malpractices to mitigate these. It is important that those handling arts should bring in change and equality.


‘What would be the future of those who complain?’
Mala Parvathy, actress


Production controllers are the ones who rule the shooting sets. How they treat us depends on their temperaments. Some are extremely caring and are ready to give loo breaks amid the shoot. But there are also those who don’t even consider us as humans. I have fought even for water in the sets. During the shoot of Happy Sardar, I finally rented a caravan on my own expense as I couldn’t control not using a washroom for 16 hours. That became an issue. I am an optimistic person and I look at the tribunal positively. But I wonder what will be the future of those who complain? Whoever has complained will not be supported by the industry and we cannot prove that they are avoiding us due to our grievance. This is a market-driven industry and it is all about comfort zones. So, I am not sure how justice can be done. However, things are changing, and I am glad.


‘We now have a solid document. The next step is transformation’
Asha Joseph, academician and WCC member


We should be proud that Kerala and the Malayalam film industry have joined the discussions on gender parity while it happened all over the world. Thanks to our awareness and receptiveness, we are different from other States and also we were able to identify the discrimination. We have crossed the first hurdle. Through Hema Commission, we have also documented it now. This can be considered as the base for all upcoming discussions. Now, we can think of how to transform. We are in a hopeful space now. This can be done through creating awareness in the society. Such issues are prevalent in every field where women are less visible. It is important to bring in equality and gender inclusivity to make the industry healthy one."
"PTI | Jan 5, 2020, 00:02 IST",-,-,Auto-maker Ather plans to ramp up operations,-
"PTI | Jan 5, 2020, 00:02 IST",-,-,Auto-maker Ather plans to ramp up operations,-
,"Created: Jan 5, 2020, 00:03 IST",Entertainment,Photos: Ananya Panday and Suhana Khan step out together to meet their BFF Shanaya Kapoor,"Ananya Panday and Shah Rukh Khan's daughter Suhana Khan are childhood best friends. And whenever they come together for a meet, paparazzi never miss the opportunity to click their pictures.
Now, Suhana is back from in Mumbai for a short break from her studies abroad. And it seems she is making most of her time while she is here. The BFFs welcomed the year 2020 with their friends at SRK's Alibaug bungalow.

Today, they stepped out together to meet their friend, Sanjay Kapoor's daughter, Shanaya Kapoor. For the occasion, Ananya wore an off-shoulder blue printed ensemble while Suahan was in casual wear. They were snapped outside Shanaya's house and soon, their friend came down to meet her pals.
Check out the pictures here:







Meanwhile, on the work front, Ananya will be next seen in 'Khaali Peeli' with Ishaan Khatter. Suhana and Shanaya are yet to make their debut in Bollywood."
"TIMESOFINDIA.COM | Updated: Jan 5, 2020, 22:07 IST",-,-,Big sports events today,-
"Sachin Parashar | TNN | Updated: Jan 5, 2020, 10:26 IST",Sachin Parashar,India,Pompeo discusses Iran situation with Indian envoy,-
"Paresh Mokani | Jan 5, 2020, 00:23 IST",Paresh Mokani,City,Ranji Trophy: Allround success for Goa at home,-
"Marcus Mergulhao | Jan 5, 2020, 00:25 IST",Marcus Mergulhao,City,I-League: Plaza strikes at death as Churchill Bros end East Bengal’s unbeaten run,-
"TNN | Jan 5, 2020, 00:26 IST",-,City,"After Churchill scalp, young Arrows high on confidence",-
